Date,High,Low,Open,Close,Volume,Macd,Macdsignal,rsi,bull_rsi,bear_rsi,stochK,stochD,ema21,ema50,ema100,ema200,bblower,bbupper,cci,roc,atr,adx,di_minus,di_plus
2017-11-05T14:00,7575.00,7464.00,7518.10,7560.50,4305,-5.27,244.78,73.86,74.17,73.66,91.69,87.94,7221.07,6798.5,6353.68,5785.9,6941.93,7617.22,129.85,0.05,188.66,50.64,9.8,29.13
2017-11-05T18:00,7568.90,7277.00,7561.40,7370.50,13907,-18.72,240.10,61.27,56.99,62.54,82.78,87.47,7234.65,6820.93,6373.81,5801.67,6969.07,7620.13,62.75,0.04,196.04,48.82,15.57,26.03
2017-11-05T22:00,7400.00,7183.90,7356.20,7233.00,9322,-37.13,230.81,54.08,48.04,56.01,68.56,81.01,7234.5,6837.09,6390.83,5815.92,7017,7598.76,-11.47,-0.01,197.47,46.41,17.72,24
2017-11-06T02:00,7339.00,7090.00,7233.10,7288.10,12102,-45.31,219.49,56.30,51.44,57.89,54.96,68.77,7239.38,6854.77,6408.59,5830.57,7062.02,7580.67,-38.78,-0.02,201.15,43.5,19.49,21.88
2017-11-06T06:00,7382.00,7241.50,7284.20,7327.30,5975,-47.56,207.59,57.85,53.82,59.21,49.6,57.71,7247.37,6873.3,6426.79,5845.46,7074.86,7580.84,2.27,-0.01,196.82,41.07,18.5,22.32
2017-11-06T10:00,7440.00,7204.40,7328.60,7254.90,8835,-53.00,194.35,54.03,48.90,55.76,46.63,50.4,7248.05,6888.27,6443.18,5859.49,7070.72,7580.28,-10.62,-0.02,199.59,39.14,16.94,22.52
2017-11-06T14:00,7277.70,6951.00,7254.80,7014.60,16526,-70.73,176.66,43.70,36.55,46.23,32.04,42.76,7226.83,6893.22,6454.5,5870.98,7022.63,7599.86,-132.94,-0.06,208.67,36.96,23.72,20
2017-11-06T18:00,7153.00,6911.00,7014.60,6956.50,9939,-83.45,155.80,41.63,34.23,44.27,17.63,32.1,7202.25,6895.7,6464.44,5881.78,6965.63,7620.12,-153.16,-0.08,211.05,35.14,23.13,18.36
2017-11-06T22:00,7145.10,6955.00,6955.00,7124.80,6433,-77.74,136.37,49.15,45.39,50.71,15.86,21.84,7195.21,6904.69,6477.52,5894.15,6950.33,7620.91,-102.87,-0.05,209.55,33.45,21.63,17.17
2017-11-07T02:00,7210.00,7076.80,7125.00,7156.50,5031,-69.30,119.04,50.44,47.27,51.82,24.49,19.33,7191.69,6914.56,6490.96,5906.72,6953.62,7620.06,-66.25,-0.05,204.1,31.42,20.62,18.64
2017-11-07T06:00,7200.70,7101.50,7156.50,7166.70,3374,-60.81,103.84,50.88,47.90,52.20,34.69,25.01,7189.42,6924.45,6504.34,5919.25,6953.51,7620.08,-64.81,-0.03,196.61,29.53,19.88,17.97
2017-11-07T10:00,7220.00,6948.00,7166.70,7029.90,10202,-61.98,88.34,45.17,40.58,47.01,30.09,29.76,7174.92,6928.59,6514.75,5930.31,6930.16,7628.26,-103.85,-0.03,201.99,28.71,23.39,16.24
2017-11-07T14:00,7136.90,6973.80,7030.00,7087.20,7030,-56.61,74.19,47.81,44.53,49.26,26.72,30.5,7166.95,6934.81,6526.09,5941.82,6929.4,7628.54,-100.88,-0.03,199.21,27.95,22.03,15.29
2017-11-07T18:00,7120.90,6984.00,7087.10,7102.00,5326,-50.01,61.69,48.50,45.57,49.85,23.91,26.91,7161.04,6941.36,6537.49,5953.37,6910.56,7624.21,-88.28,-0.03,194.76,27.25,20.92,14.52
2017-11-07T22:00,7369.40,7045.00,7102.10,7338.20,10336,-28.74,54.50,58.04,59.13,58.11,39.78,30.14,7177.15,6956.93,6553.35,5967.15,6912.2,7613.26,-4.12,0.01,204.02,25.84,18.54,21.57
2017-11-08T02:00,7420.00,7271.10,7338.20,7336.80,5728,-14.49,50.88,57.97,59.03,58.05,58.06,40.58,7191.66,6971.82,6568.86,5980.76,6912.28,7609.87,40.81,0.05,200.08,24.83,17.56,22.23
2017-11-08T06:00,7480.00,7325.00,7336.70,7430.00,4710,0.69,51.05,61.25,63.46,60.94,78.88,58.91,7213.33,6989.79,6585.91,5995.18,6910.86,7615.49,71.01,0.07,196.86,24.24,16.57,23.16
2017-11-08T10:00,7541.10,7425.00,7430.00,7492.00,8128,13.65,54.47,63.30,66.16,62.75,87.97,74.97,7238.66,7009.49,6603.85,6010.08,6906.98,7625.92,101.1,0.05,191.1,24.03,15.85,24.44
2017-11-08T14:00,7899.90,6977.40,7492.00,7204.70,51800,2.24,55.03,50.07,47.91,51.02,71.04,79.3,7235.57,7017.14,6615.75,6021.97,6912.39,7586.83,50.11,0.01,243.34,23.47,24.7,17.82
2017-11-08T18:00,7492.10,7125.00,7209.90,7446.30,15732,9.88,57.50,58.02,58.59,58.05,58.68,72.56,7254.73,7033.97,6632.2,6036.14,6918.92,7573.13,54.4,0.04,252.18,22.95,22.13,15.97
2017-11-08T22:00,7450.00,7272.50,7446.10,7314.20,8493,5.19,58.79,53.05,52.10,53.57,41.53,57.08,7260.14,7044.96,6645.7,6048.85,6937.84,7529.58,58.32,0.04,246.84,22.47,20.99,15.15
